company name,category,based in,tags,total funding,founded,website,company status
Sophia Advisory,Austria,Vienna,"Marketplace, Services Industry, Business Solutions",No funding announced yet,2020,https://www.hallosophia.com,
Sophia Genetics,Switzerland,Lausanne,"DEMOCRATIZING, DATA-DRIVEN MEDICINE, medtech",Above €25 million,2012,https://www.sophiagenetics.com/home.html,
Sopht,France,Lyon,"AI, Environment, SaaS",Between €2.5 million-5 million,2021,https://sopht.com/,Active
Soplan,Netherlands,Rotterdam,"Local businesses, Event managers, Coaches",No funding announced yet,2020,https://soplan.com,
Soplaya,Italy,Udine,"Food and Beverage, Marketplace, Restaurants",Between €2.5 million-5 million,2017,https://soplaya.com/,
Sopra Cheese,UK,Bath,"Food, Beverage, Farm, Heath",No funding announced yet,2020,https://www.sopracheese.com/,
Sora,UK,LONDON,"AI,OPENAI,SORA",No funding announced yet,2023,https://sora.town/,Active
Sorair Technologies,UK,London,Logistics,Between €1 million-€ 2.5 million,2020,https://www.sorair.co.uk/,Active
Sorare,France,Paris,"Blockchain, Cryptocurrency, Gaming, Sports",,2018,https://sorare.com/,
Sorella,France,Paris,"Hospitals, Health Care, Product, Service",Between €2.5 million-5 million,2022,https://www.sorella-care.com/,Active
Soren Hydrogen,Norway,Oslo,"SAAS, Techno-Economic Modeling, LCOH, Digital Engineering",Between €500K-€ 1 million,2022,https://sorenhydrogen.com/,Active
Sorgi,Malta,Malta,"Furniture, construction, Materials",Between €100K-€500K,2020,https://www.sorgi.mt/,
Sorry As A Service,Estonia,Tallinn,"Customer Service, Subscription, SaaS, Sorry As A Service, Tallinn",,2014,www.sorryasaservice.com,
Sortask,Austria,Graz,"Software Development, AI, App",Between €100K-€500K,2025,https://www.sortask.com,Active
Sorted,UK,London,"Software Development, Retailers, Brands, Leading Tech",Between €1 million-€ 2.5 million,2010,https://sorted.com/,Active
Sorted Group,UK,Manchester,"SaaS, Retail, Shipping",,2010,https://sorted.com/,
Sorted Technology,Ireland,Dublin,"Freelance, Internet, Messaging, Social",No funding announced yet,2021,https://www.gosorted.com,
Sortie Cargo,Italy,Turin,Transportation,Between €100K-€500K,2021,https://www.sortiecargo.com/,Active
Sortlist,Belgium,Brussels,"Marketing, Matchmaking, Search Tool, Creative Agencies",,2014,www.sortlist.com,
Sortter,Finland,Helsinki,"fintech, bank, lending, comparison",,2018,https://sortter.fi,
Sos Obras Portugal Handymanapp Sosbricoch,Portugal,Aveiro University,"handyman, directory, europe,",Between €1-€100K,2023,https://www.sos-obras.pt,Active
Sosafe Cyber Security Awareness,Germany,Cologne,"B2B, SaaS, Security, IT",No funding announced yet,2018,https://sosafe-awareness.com/,
Sosecuador,UK,London,"Communities, Education, Hospital",Between €1-€100K,2016,https://www.crowdfunder.co.uk/sos-ecuador/,
Sota,Ireland,Dublin,"FinTech, Information Services, Information Technology, Venture Capital",No funding announced yet,2021,http://www.getsota.com,
Soter Analytics,UK,London,"Artificial Intelligence, Enterprise Software, Internet of Things, Machine Learning, Risk Management, SaaS, Wearables",Between €1 million-€ 2.5 million,2015,http://www.soteranalytics.com/,
Sotera Heritage,UK,London,"AI, Big Data, Insurtech",Between €100K-€500K,2020,https://www.sotera.insure/,Active
Sotiria Technology,Greece,Athens,"AI, Defense, Sensing Technology",Between €1-€100K,2021,https://www.sotiria.tech/,Active
Soto Solar,Spain,Madrid,"solar energy, energy tech",,2018,www.sotosolar.com,
Soty Solar,Spain,"Gijón, Spain","solar, marketplace, rooftop",,2016,http://www.soty.es,
Soula,Cyprus,Limassol,"pregnancy, childbirth & postpartum care, Wellness and Fitness Services, mental health support,",Between €100K-€500K,2022,https://soula.care/,
