name,company_number,jurisdiction_code,incorporation_date,company_type,branch,inactive,registered_address_street_address,registered_address_locality,registered_address_region,registered_address_postal_code,registered_address_country,country,started_in_year
"""BIBI"" D.O.O. U LIKVIDACIJI",03666280,hr,,,,,F. Beulovića 15,,Rijeka-dio,51000,Croatia,Croatia,
"""BONKULOVIĆI"" - KORČULA",01543466,hr,,,,,Korčula,,Korčula,20260,Croatia,Croatia,
"""BRESKORKA""",04397690,hr,,,,,Bana Josipa Jelačića 26,,Tovarnik,32249,Croatia,Croatia,
"""BVC""",04395085,hr,,,,,Karlovačka cesta 195 b,,Zagreb,10000,Croatia,Croatia,
"""DALONG""",03590399,hr,,,,,REMETE 28 a,,Zagreb,10000,Croatia,Croatia,
"""DECOM""",03642488,hr,,,,,REMETINEČKA 106,,Zagreb,10000,Croatia,Croatia,
"""DOMING""",03606589,hr,,,,,BRAĆE CVIJIĆA 32,,Zagreb,10000,Croatia,Croatia,
"""DOSTOJAN ŽIVOT"" UDRUGA ZA ZAŠTITU LJUDSKIH PRAVA",04387040,hr,,,,,Roberta Frangeša Mihanovića 3,,Zagreb,10000,Croatia,Croatia,
"""DRAGO""",03656055,hr,,,,,ILICA 228,,Zagreb,10000,Croatia,Croatia,
"""Dobri duh""- terapijsko, rekreacijsko i sportsko jahanje za osobe s posebnim potrebama",02839814,hr,,,,,Stjepana Radića 121,,Majerje,42206,Croatia,Croatia,
"""DraCon""- Dubrovačka cosplay organizacija",04350626,hr,,,,,A.G. Matoša 18,,Dubrovnik,20000,Croatia,Croatia,
"""EKO FURKA""",04409833,hr,,,,,Ulica braće Domany 4,,Zagreb,10000,Croatia,Croatia,
"""EM-BEDER"" D.O.O. ŽEPČE",02169711,hr,,,,,Veruda  35,,Pula,52100,Croatia,Croatia,
"""EURO LISICA"" d.o.o.",01114034,hr,,,,,Komarska 20,,Petrijanec,42206,Croatia,Croatia,
"""Ekipa""",04427076,hr,,,,,Doverska 22,,Split,21000,Croatia,Croatia,
"""FEREX"" d.o.o. u likvidaciji",03681556,hr,,,,,Naselje Brist 60,,Pula,52100,Croatia,Croatia,
"""GU"" BELJEVINA",02956845,hr,,,,,Ljudevita Gaja 50,,Beljevina,31511,Croatia,Croatia,
"""HALILOVIĆ""",03571670,hr,,,,,PARTIZANSKI PUT 42,,Sesvete,10360,Croatia,Croatia,
"""HOPE"" H.P.Ž.",04414012,hr,,,,,Flanatička 11,,Pula,52100,Croatia,Croatia,
"""HRVATSKI FENIKS"" SPLIT",01977822,hr,,,,,Vrgoračka 31,,Split,21000,Croatia,Croatia,
"""HVIDR-a"" Požeško-slavonske županije",01184873,hr,,,,,Matije Gupca 6,,Požega,34000,Croatia,Croatia,
