country,company_name,city,funding_amount,industry_tags,start_year,status,website
Spain,Sounds Market,Barcelona,,"Apps, Music",2018,True,https://soundsmarket.com/
Italy,Soundsofthings,Merano,,"Social Media, Audio, Social Media Advertising",2017,True,https://www.soundsofthings.com/
Sweden,Soundtrack Your Brand,Stockholm,,"Music Tech, Music Platform, Social Network",2013,True,www.soundtrackyourbrand.com
Denmark,Soundtracktor,Dragør,,"AI, content management, music composers",2019,True,https://www.soundtracktor.com
Sweden,Soundtrap,Stockholm,,"MusicTech, Sound Recording, Podcast Creation",2012,True,www.soundtrap.com
Romania,Soundwaves App,Bucharest,,"music, social network, augmented reality music, soundwaves",2021,True,https://getsoundwaves.com
Denmark,Soundwheel,Copenhagen,300000.0,Health,2021,True,https://www.soundwheel.com/da/download-app
UK,Soundwiseai,London,50000.0,AI Video and Audio Transcription,2023,True,https://soundwise.ai/
France,Sourceai,Paris,50000.0,"Artificial Intelligence, Cyber Security, Developer Tools, Machine Learning, Q&A, SaaS, Software, Web Apps",2021,True,https://sourceai.dev/
Denmark,Sourcebirds,"Copenhagen, Denmark",,"Trade-shows, factories search, alibaba",2022,True,https://www.sourcebirds.com
Spain,Sourced,Madrid,7500000.0,"Analytics, Artificial Intelligence, Machine Learning, Open Source, Software, Software Engineering",2015,True,http://sourced.tech/
UK,Sourcee,London,,"Public Relations, SaaS, Productivity",2022,True,https://www.sourcee.app/
Netherlands,Sourcegeek,Maarssen,,"ai,recruitment,hr,sourcing",2024,True,https://www.sourcegeek.com/
Romania,Sourceless,Constanta,,"blogs, chat, articles, events, forums",2020,True,https://source-less.com/
France,Sourcely,Paris,3750000.0,"AI research tool, academic research, citation generation",2024,True,https://www.sourcely.net/
Italy,Sourcemate,Milan,,"IT Services, IT Consulting, ICT training",2022,True,https://www.sourcemate.it/
Sweden,Sourceme,Stockholm,,"search platform, directory, b2b marketplace",2020,True,https://sourceme.com
Germany,Sourcert,Berlin,,"agile, dfss, prototype, startups",2021,True,www.sourceRT.com
UK,Sourcific Consulting,London,,"Artificial Intelligence, Big Data, Management Consulting",2020,True,https://sourcificconsulting.co.uk/
UK,Sourcing Playground,United Kingdom,,,2017,True,https://sourcingplayground.com
Germany,Sourcingbot,Berlin,,"graph, database, machine learning",2017,True,https://sourcingbot.com
Netherlands,Sous,Amsterdam,750000.0,"food delivery, Food and Beverage, ecommerce",2022,True,https://eatsous.com/
UK,South Grown,London,1750000.0,"Medical Cannabis, Retail, CBD Products, Natural Products, Therapeutics",2017,True,www.southgrown.com
Sweden,Southern Lights,Stockholm,1750000.0,Energy,2022,True,https://www.southernlights.io/
Netherlands,Sowieso Helder,Halfweg,,"Advertising, Consulting, Event Promotion",2017,True,Halfweg
Spain,Soy Luzia,Manzanares,,"Technology, Information and Internet",2023,True,https://www.luzia.com/
Spain,Soyguiri,Malaga,1750000.0,Education,2019,True,https://soyguiri.com/
UK,Sozie,London,750000.0,"E-Commerce, Retail Technology",2017,True,http://www.sozie.com/
Ireland,Sp Spareparts,Dublin,,"equipment, time, money, manufacturer, OEM",2018,True,https://www.sp-spareparts.com/en
Poland,Sp Tech Solutions,Torun,3750000.0,"IT Services, IT Consulting, Solutions Enabling Optimization",2019,True,https://www.sptech.pl/
Norway,Spa Huset,Ski,,"whirlpools, spa, pools",2019,True,https://spa-huset.no
UK,Space Forge,Bristol,17500000.0,"Hardware, Robotics, Mining Technology, Software",2018,True,https://spaceforge.co.uk/
Italy,Space Frontier,Naples,25000000.0,Aerotech,2023,True,http://spacefrontier.eu/
Slovenia,Space Invoices,Ljubljana,300000.0,"invoicing, SaaS, complexity, software",2017,True,https://spaceinvoices.com/
Netherlands,Space Mining Technologies,Europe,,"Space exploration, space resources, ai, innovation",2018,True,https://space-mining.tech
Ireland,Space Os,Galway,3750000.0,"Information Technology, Internet, Software",2017,True,https://spaceos.io/
Spain,Space Submicron Electronic,Seville,,Electronics,2019,True,http://www.2se.es
Germany,Space44,Munich,,"Consulting, Information Services, Information Technology, Outsourcing, Software",2017,True,https://www.space44.com/
UK,Spacebands,Bristol,300000.0,"Information Technology & Services, Intelligence platform",2020,True,https://www.spacebands.com
Germany,Spacebase,Berlin,,"spaces, workspace, meetings",2015,True,https://www.spacebase.com/en/
Spain,Spaceboost,Barcelona,,"Advertising, Data, Mission",2014,True,http://www.spaceboost.com/
UK,Spacechain Uk,Cambridge,1750000.0,"Aerospace, SaaS",2017,True,https://spacechain.com/
France,Spacefill,Paris,,"Warehouse, Logistics, Storage Solutions",2018,True,www.spacefill.fr
UK,Spaceflow,London,,"space, landlords, mobile, community",2016,True,https://spaceflow.io/
Germany,Spacefood,Berlin,,"space, food, exploration,",2023,True,https://www.getspacefood.com
Germany,Spacegoats,Stuttgart,1750000.0,"SaaS, E-Commerce, B2B, Amazon",2019,True,spacegoats.io
UK,Spacegoods,London,3750000.0,"Mushrooms, DTC, Marketing, Health Wellness",2022,True,https://spacegoods.com/
UK,Spacehop,UK,,"booking, spaces, office",2016,True,http://www.spacehop.com
Belgium,Spacehuntr,Brussels,,"Event venues, Corporate events, meeting room, unique venues",2018,True,https://spacehuntr.com/
Spain,Spacelens,Madrid,,"Apps, E-Commerce",2018,True,https://www.spacelens.com/
Norway,Spacemaker,Oslo,,"urban, plan, urbanization",2016,True,https://spacemaker.ai/
Norway,Spacemaker Ai,Oslo,25000000.0,"AI technology, architects, real estate developers",2016,True,https://www.spacemakerai.com/
Italy,Spacemotionery,Turin,3750000.0,Aerotech,2022,True,https://www.spacemotionery.it/
Finland,Spacent,Helsinki,1750000.0,"Proptech, Sustainability, Hybrid Workspaces",2018,True,https://www.spacent.com/
Germany,Spacenus,"Darmstadt, Hessen",1750000.0,"Agriculture, Artificial Intelligence, Farming",2015,True,https://spacenus.com/
